编号,类别,标题,文号/编号,机构/来源,年份,语言,状态,本地文件,来源URL,与课题关联说明,移除原因/备注
BG01,报告/规划,Water and Wastewater Systems Sector-Specific Plan 2015 (NIPP SSP),—,EPA/DHS(美国),2015,英文,已保存,BG01_2015_美国水与污水系统部门专项规划_NIPP_SSP.pdf,https://www.cisa.gov/sites/default/files/publications/nipp-ssp-water-2015-508.pdf,水部门与能源等部门互依专章+附录4互依清单；电力中断对供排水影响与优先恢复,经Wayback镜像下载(CISA反爬)
BG02,报告/规划,Energy Sector-Specific Plan 2015 (NIPP SSP),—,DOE/DHS(美国),2015,英文,已保存,BG02_2015_美国能源部门专项规划_NIPP_SSP.pdf,https://www.cisa.gov/sites/default/files/publications/nipp-ssp-energy-2015-508.pdf,能源部门对水依赖与生命线互依表；跨部门级联效应分析框架,经Wayback镜像下载
BG03,报告,Electricity-Water Critical Infrastructure Interdependencies,—,NASEO(美国州能源官员协会),2021,英文,已保存,BG03_2021_NASEO_电力-水关键基础设施互依性报告.pdf,https://naseo.org/data/sites/1/documents/publications/NASEO%20Electricity-Water%20Critical%20Infrastructure%20Interdependencies%20December%202021%20FINAL.pdf,★直接对口：电力-水互依类型学+停电/干旱情景分析三步法,
BG04,事件调查报告,The February 2021 Cold Weather Outages in Texas and the South Central United States,—,FERC/NERC/区域实体,2021,英文,已保存,BG04_2021_FERC-NERC_德州寒潮大停电调查报告.pdf,https://www.ferc.gov/sites/default/files/2021-12/Cold%20Weather%20Report_%202021_120821.pdf,★级联失效经典案例：寒潮→机组/气源连锁失效→大停电→供水中断完整链条+31条建议,
BG05,事件调查报告,Report on Outages and Curtailments During the Southwest Cold Weather Event of February 2011,—,FERC/NERC,2011,英文,已保存,BG05_2011_FERC-NERC_美西南寒潮停电与限气调查报告.pdf,https://www.nerc.com/globalassets/our-work/reports/event-reports/sw_cold_weather_event_final.pdf,电力-天然气-水互依级联案例：电动泵停机→气产量下降→限气→机组跳机,
BG15,实务指南,Power Resilience Guide for Water and Wastewater Utilities,810-F-23-013,EPA(美国环保署),2023,英文,已保存,BG15_2023_EPA_供水与污水公用事业电力韧性指南.pdf,https://www.epa.gov/system/files/documents/2023-05/PowerResilienceGuide_2023_508c.pdf,★直接对口：水企电力韧性实务——与电力公司协调、停电情景、备用电源、恢复优先序、资金,
BG16,实务工具,Incident Action Checklist: Power Outages (Water Utilities),817-F-21-008,EPA,2019/2021,英文,已保存,BG16_2019_EPA_水企停电事件行动清单.pdf,https://www.epa.gov/sites/default/files/2019-11/documents/191126-incidentactionchecklist-po-form_508c.pdf,水企停电事件'准备-响应-恢复'行动清单,
BD01,新闻报道,清华合肥院建设全国首个城市生命线安全工程,—,清华大学新闻网,2021,中文,已保存(HTML+TXT),BD01_2021_清华新闻_合肥城市生命线安全工程.html/.txt,https://www.tsinghua.edu.cn/info/1175/87870.htm,'清华方案·合肥模式'缘起：供水管网泄漏监测预警成效、安委办〔2021〕6号推广背景,
BD02,新闻报道,科技赋能 守护'城市生命线'——安徽全国率先实现全覆盖,—,央广网,2022,中文,已保存(HTML+TXT),BD02_2022_央广网_安徽率先实现城市生命线全覆盖.html/.txt,https://www.cnr.cn/ah/news/20221117/t20221117_526063978.shtml,省级生命线工程数据：供水管网6341公里监测、多灾种耦合风险治理、向电力拓展,
BD03,新闻报道,从安徽创新到国家行动：城市基础设施生命线安全工程写入政府工作报告,—,中国日报网,2026,中文,已保存(HTML+TXT),BD03_2026_中国日报_城市生命线安全工程写入政府工作报告.html/.txt,http://cnews.chinadaily.com.cn/a/202603/06/WS69aab7cca310942cc49a1e33.html,2026两会最新：生命线工程写入政府工作报告、GB/T 45791-2025实施、交叉耦合风险监测,
BG06,报告,Dams and Energy Sectors Interdependency Study,—,DOE/DHS,2011,英文,已移除,(原BG06_2011_DOE-DHS_大坝与能源部门互依性研究.pdf),https://www.energy.gov/sites/prod/files/Dams-Energy%20Interdependency%20Study.pdf,大坝-能源互依,"移除:无关-口径外(水电/水资源侧,非市政供水网)"
BG07,报告,Decision Support for Integrated Water-Energy Planning (SAND2009-6521),—,Sandia国家实验室,2009,英文,已移除,(原BG07_...SAND2009-6521.pdf),https://www.osti.gov/servlets/purl/976952/,水-能一体化规划系统动力学模型,移除:无关-口径外(国家尺度nexus资源侧)
BG08,报告,Energy-Water Analysis of the 10-year WECC Transmission Plan (SAND2011-7281),—,Sandia/DOE,2011,英文,已移除,(原BG08_...SAND2011-7281.pdf),https://www.osti.gov/servlets/purl/1031314,输电规划水资源约束,移除:无关-口径外(电源侧/资源侧)
BG09,报告,Water-Smart Power,—,UCS,2013,英文,已移除,(原BG09_...pdf),https://www.ucs.org/sites/default/files/2019-09/Water-Smart-Power-Full-Report.pdf,电力系统水约束,移除:无关-口径外(冷却水/资源侧)
BG10,报告,WEO 2016 Special Report: Water-Energy Nexus,—,IEA,2016,英文,已移除,(原BG10_...pdf),https://iea.blob.core.windows.net/assets/e4a7e1a5-b6ed-4f36-911f-b0111e49aab9/WorldEnergyOutlook2016ExcerptWaterEnergyNexus.pdf,全球水-能纽带,移除:无关-口径外(全球宏观背景)
BG11,报告,Energy Demands on Water Resources: Report to Congress,—,DOE/Sandia,2006,英文,已移除,(原BG11_...pdf),https://www.sandia.gov/energy-water/docs/121-RptToCongress-EWwEIAcomments-FINAL.pdf,能源-水互依国会报告,移除:无关-口径外(资源侧)
BG12,报告,"High and Dry: Climate Change, Water, and the Economy",—,世界银行,2016,英文,已移除,(原BG12_...pdf),https://openknowledge.worldbank.org/server/api/core/bitstreams/5bf39931-836c-54da-953f-15d8330d87d3/content,气候-水-经济,移除:无关-口径外(全球宏观)
BG14,报告,UN World Water Development Report 2014: Water and Energy,—,UNESCO/UN-Water,2014,英文,已移除,(原BG14_...pdf),https://unesdoc.unesco.org/ark:/48223/pf0000225741,全球水-能源旗舰报告,移除:无关-口径外(全球宏观)
BG17,实务指南,Emergency Response Planning Guide for Public Drinking Water Systems,331-211,华盛顿州卫生署,—,英文,已移除,(原BG17_...pdf),https://doh.wa.gov/sites/default/files/legacy/Documents/Pubs//331-211.pdf,饮用水系统应急规划指南,移除:冗余(电力韧性内容已被BG15/BG16覆盖)
ZC04,白皮书,我国城市生命线建设(2024-2025)年度白皮书(网页节选),—,icci-ndrc,2025,中文,已移除,(原ZC04_...html/.txt),http://www.icci-ndrc.com/?m=home&c=View&a=index&aid=694,城市生命线建设综述,"移除:冗余(网页节选非全文,与BD01-BD03重复)"
ZC07,政策文件,National Infrastructure Protection Plan (NIPP) 2013,—,DHS,2013,英文,已移除,(原ZC07_...pdf),https://www.cisa.gov/resources-tools/resources/national-infrastructure-protection-plan-nipp,NIPP风险框架总纲,移除:冗余(与PPD-21+两份SSP内容重复)
BD04,新闻报道,城市生命线安全工程'合肥模式'(应急管理部转载),—,应急管理部网站,2021,中文,已移除,(原BD04_...html/.txt),https://www.mem.gov.cn/xw/mtxx/202109/t20210927_399190.shtml,合肥模式报道,"移除:冗余(与BD01同期同题,保留含政策文号的BD01)"
