序号,UT,题名,判定,理由/标签,判定阶段
29,WOS:000632961600028,A decomposition approach for solving tri-level defender-attacker-defender problems,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
30,WOS:000499733200049,An efficient interactive framework for improving resilience of power-water distribution systems with multiple privately-owned microgrids,A,韧性提升(电力-配水系统+微网),题目+关键词
31,WOS:000241524100012,Thermoeconomic analysis of a power/water cogeneration plant,X,过程级(热电联产厂热经济分析),题目+关键词
32,WOS:001479464500001,Multi-timescale risk-averse restoration for interdependent water-power networks with joint reconfiguration and diverse uncertainties,A,耦合网络恢复(多时间尺度风险规避),题目+关键词
33,WOS:000337646000073,The Impact of Water Use Fees on Dispatching and Water Requirements for Water-Cooled Power Plants in Texas,X,nexus资源侧(电厂冷却水费与调度),题目+关键词
34,WOS:000410255800052,Freshwater Vulnerability beyond Local Water Stress: Heterogeneous Effects of Water-Electricity Nexus Across the Continental United States,X,nexus资源侧(淡水脆弱性),题目+关键词
35,WOS:000663909200006,Dependent infrastructure system modeling: A case study of the St. Kitts power and water distribution systems,A,相依基础设施建模(电力+配水),题目+关键词
36,WOS:001728077700001,Collaborative decision making for natural disaster recovery of interdependent infrastructure systems,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
37,WOS:000459949900002,Resilience-driven restoration model for interdependent infrastructure networks,A,互依电力-水网络韧性驱动恢复模型,摘要
38,WOS:000833559100016,Project schedule compression for the efficient restoration of interdependent infrastructure systems,A,水-电-气互依网络恢复工期压缩(Shelby),摘要
39,WOS:001257800700001,A long-term generation and transmission expansion planning model considering desalination flexibility and coordination: A Chilean case study,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
40,WOS:001813850000001,Vulnerability analyses of power-water interdependent infrastructure networks by using load-functional dependency coupled cascading failure model,A,级联失效模型(电力-水互依网络),题目+关键词
41,WOS:001830127300001,Robust learning-enabled voltage control for water-electricity systems under incomplete topology and parameter information,A,耦合系统电压控制(水-电系统),题目+关键词
42,WOS:000437396900015,Assessment of the impact of interdependencies on the resilience of networked critical infrastructure systems,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
43,WOS:000599754500120,An integrated state-estimation framework for interdependent water and energy systems,A,耦合系统状态估计(水-能),题目+关键词
44,WOS:000368928000016,Post-disaster infrastructure restoration: A comparison of events for future planning,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
45,WOS:000608424400003,Evaluating the societal impact of disaster-driven infrastructure disruptions: A water analysis perspective,X,"供水中断社会影响(大阪,无电力耦合)",摘要
46,WOS:000709090100023,Resilience-Motivated Distribution System Restoration Considering Electricity-Water-Gas Interdependency,A,"配网恢复(电-水-气互依,含供水系统)",题目+关键词
47,WOS:000623667400001,Leveraging the water-energy nexus to derive benefits for the electric grid through demand-side management in the water supply and wastewater sectors,A,需求侧灵活性(供水+污水部门支持电网),题目+关键词
48,WOS:000443663100027,Downtime estimation and analysis of lifelines after an earthquake,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
49,WOS:001510091200002,Dynamic inoperability input-output modeling of a system of systems made of multi-state interdependent critical infrastructures,A,相依基础设施建模(电网+水网DIIM),题目+关键词
50,WOS:000459697700046,Facility Location for Recovering Systems of Interdependent Networks,A,互依网络恢复设施选址(电-水行为),摘要
51,WOS:000519531800003,Attacks on smart grid: power supply interruption and malicious power generation,X,纯电力(智能电网攻击),题目+关键词
52,WOS:000361460000021,A numerical model for evaluation power outages impact on water infrastructure services sustainability,A,停电对供水服务影响建模,题目+关键词
53,WOS:001131509200001,Modeling the Water Systems of the Western US to Support Climate-Resilient Electricity System Planning,X,"[B终筛剔除:nexus资源侧(水电调度/电厂冷却水/区域水资源),非市政供水网]",摘要复核(B类终筛)
54,WOS:000240664900009,Performance analysis of combined humidified gas turbine power generation and multi-effect thermal vapor compression desalination systems - Part 1: The desalination unit and its combination with a steam-injected gas turbine power system,X,过程级(燃气轮机+MED海水淡化),题目+关键词
55,WOS:000447870600001,Automatic classification of insulator by combining k-nearest neighbor algorithm with multi-type feature for the Internet of Things,X,无关(绝缘子图像识别),题目+关键词
56,WOS:000309243700060,Smart metering and systems to support a conscious use of water and electricity,X,用户侧计量(水/电智能计量),题目+关键词
57,WOS:000526418000010,Seasonal Risk Assessment of Water-Electricity Nexus Systems under Water Consumption Policy Constraint,X,"[B终筛剔除:nexus资源侧(水电调度/电厂冷却水/区域水资源),非市政供水网]",摘要复核(B类终筛)
58,WOS:000606675400010,Post-disaster recovery in industrial sectors: A Markov process analysis of multiple lifeline disruptions,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
59,WOS:000566353500034,Restoring Community Structures in Interdependent Infrastructure Networks,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
60,WOS:000806945200001,Optimal Operation of Combined Energy and Water Systems for Community Resilience against Natural Disasters,X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
61,WOS:001582861400008,A two-stage risk mitigation-aware energy scheduling for integrated water-power system with hybrid energy convertors,A,综合水-电系统调度(风险规避),题目+关键词
62,WOS:000268750701185,CONCEPTION AND DESIGN OF A MICRO-HYDRO IN A WATER SUPPLY SYSTEM,X,[B终筛剔除:供水系统内水力发电/能量回收/抽蓄设备(口径外)],摘要复核(B类终筛)
63,WOS:000398591200008,Robust Planning Decision Model for an Integrated Water System,X,纯水系统(综合水系统鲁棒规划),题目+关键词
64,WOS:001595481800001,Photothermal Heat-Storage Nanostructure-Assisted Water-Electricity Cogeneration System with Dual Solar Energy Inputs and High-Efficiency Heat Utilization,X,材料级(光热纳米结构水电联产),题目+关键词
65,WOS:000634988100004,Unveiling the dynamic of water-electricity conflict within and beyond megacity boundary,X,nexus资源侧(大城市水-电冲突足迹),题目+关键词
66,WOS:000891282800001,A nexus approach to infrastructure resilience planning under uncertainty,A,nexus韧性规划(基础设施加固+随机优化),题目+关键词
67,WOS:000284221500001,Simulation of post-earthquake water supply system restoration,X,"[B终筛剔除:单一系统(纯供水/纯电网)韧性,无水电耦合]",摘要复核(B类终筛)
68,WOS:001586153600036,An integrated renewable energy and machine learning framework for techno economic analysis of water and energy nexus management in arid climates,X,"[B终筛剔除:nexus资源侧(水电调度/电厂冷却水/区域水资源),非市政供水网]",摘要复核(B类终筛)
69,WOS:000569206800001,DIN II: incorporation of multi-level interdependencies and uncertainties for infrastructure system recovery modeling,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
70,WOS:001512467500001,Deep reinforcement learning-based optimization of an island energy-water microgrid system,X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
71,WOS:001562630300023,A new method for assessing resilience and predicting outages in power grids,X,"[B终筛剔除:单一系统(纯供水/纯电网)韧性,无水电耦合]",摘要复核(B类终筛)
72,WOS:001119270400029,Testing of DuPontTM B-Free™ technology in Arabic Gulf water at Sharjah Electricity & Water Authority (SEWA) Hamriyah Desalination Plant,X,海水淡化膜生物污染测试,题目+关键词
73,WOS:000253369900001,Minimizing network risk with application to critical infrastructure protection,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
74,WOS:000335273100006,Real-time economic dispatch for the supply side of the energy-water nexus,A,耦合经济调度(能源-水nexus供应侧),题目+关键词
75,WOS:001298344600001,Interdependent water and power infrastructure model (IWPIM): A modeling approach for water and energy resource management in rural communities,X,[B终筛剔除:非城市供水(灌溉/农村/离网提水)],摘要复核(B类终筛)
76,WOS:000180486800024,Dual-purpose desalination plants. Part II. Optimal configuration,X,过程级(双用途淡化厂配置),题目+关键词
77,WOS:000467725300106,Establishing Data Integrity in Networks of Cyber-Physical Systems,X,CPS数据完整性,题目+关键词
78,WOS:000583560800018,Optimal Coordinated Operation of Interdependent Power and Water Distribution Systems,A,协调运行优化(电力+配水系统),题目+关键词
79,WOS:000397213100035,"Intentional EMI against Critical Infrastructures, a Discussion on Mitigation Philosophy",X,EMI防护讨论,题目+关键词
80,WOS:000481518300001,Resilience of Water Distribution Systems during Real-Time Operations under Limited Water and/or Energy Availability Conditions,A,配水网实时运行韧性(水/能受限),题目+关键词
81,WOS:000822564900001,InfraRisk: An open-source simulation platform for resilience analysis in interconnected power-water-transport networks,A,电-水-交通互联网络韧性仿真平台,题目+关键词
82,WOS:000083740700020,The Taweelah A2 independent water and power project,X,工程项目(IWPP电站),题目+关键词
83,WOS:000374279400012,"METHANOL FROM ELECTRICITY, WATER AND CARBON DIOXIDE: OPERATIONAL RESULTS",X,电-水-CO2制甲醇,题目+关键词
84,WOS:001863585000001,Uncertainty analysis and resilience enhancement for post-earthquake fire emergency response considering cascading effects of interdependent infrastructures,A,震后火灾级联(建筑群/交通/供水/电力),摘要
85,WOS:001648098800001,Limiting the rebound effects when utilising flexibility from heat pumps using an adaptive heat pump controller,X,热泵灵活性回弹效应,题目+关键词
86,WOS:001423279900052,Topological Models Underestimate the Impact of Hazards on Coupled Power and Water Distribution Systems,A,耦合电力-配水系统灾害建模,题目+关键词
87,WOS:000433169800053,Power distribution system improvement planning under hurricanes based on a new resilience index,A,配电网韧性规划(降低水网对电网依赖),摘要
88,WOS:000436515100118,Energy-Recovery Pressure-Reducer in District Heating System,X,区域供热管网余压发电(PAT),题目+关键词
89,WOS:001578824700001,Co-optimized recovery framework for damaged coupled power-water systems with temporal-spatial coordination and MT-SOPs,A,耦合系统协同恢复优化,题目+关键词
90,WOS:000865597700056,A convex-relaxation based method for optimal water-power flow,A,水-电联流优化(凸松弛),题目+关键词
91,WOS:000390843300011,The Economical Analysis of Energy Recovery From the Water Supply Main,X,[B终筛剔除:供水系统内水力发电/能量回收/抽蓄设备(口径外)],摘要复核(B类终筛)
92,WOS:000437016600038,Resilience Computations for Optimal Operation of Water Distribution Systems,A,配水网运行韧性计算(水-能nexus),题目+关键词
93,WOS:001547956600001,Thermohydraulic coupling in solar cells for fully passive on-demand water and electricity generation,X,器件级(太阳能电池热水利水-电联产),题目+关键词
94,WOS:001790717800001,Estimating whole-of-event consequences in interdependent infrastructure systems,A,"全事件后果评估(电/水/污水,海岸洪水)",摘要
95,WOS:000744011300015,Optimization of a 30 kW SOFC combined heat and power system with different cycles and hydrocarbon fuels,X,SOFC热电联供优化,题目+关键词
96,WOS:000391660200044,Feasibility of Applying Moving Target Defensive Techniques in a SCADA System,X,SCADA移动目标防御,题目+关键词
97,WOS:000720474900002,Risk-averse operation of energy-water nexus using information gap decision theory,A,"风险规避运行(水-电nexus,IGDT)",题目+关键词
98,WOS:000870067300005,Is the secondary consumption of renewable energy sustainable? Empirical evidence from the photovoltaic industry in China,X,光伏产业水足迹LCA,题目+关键词
99,WOS:000757873700001,Resilience Enhancement for Multistate Interdependent Infrastructure Networks: From a Preparedness Perspective,A,多状态互依网络韧性提升(电-水配网算例),摘要
100,WOS:000472691300014,Component importance measures for interdependent infrastructure network resilience,A,互依网络组件重要度(电-水网络算例),摘要
101,WOS:001446364600012,Toward Community-Centered Planning of Infrastructure Restorations by Integrating Community Demographics and Public Facilities,A,"互依电力-供水基础设施恢复规划(社区/公共设施视角,Shelby)[捞回]",摘要复核(多系统耦合捞回)
102,WOS:000507633100002,CLARC: An Artificial Community for Modeling the Effects of Extreme Hazard Events on Interdependent Civil and Social Infrastructure Systems,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
103,WOS:001178680500001,Research on collaborative scheduling of internet data center and regional integrated energy system based on electricity-heat-water coupling,A,多能源(电-热-水)协同调度+数据中心,题目+关键词
104,WOS:001568968200001,"Back to life after 50 years: effects of environmental flow restoration on macroinvertebrate biodiversity and river ecological status. A case study of the Valseco stream, Spain",X,河流生态修复,题目+关键词
105,WOS:001329719000001,"Optimal cost predictive BMS considering greywater recycling, responsive HVAC, and energy storage",X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
106,WOS:000182688500001,Transmission line emergency restoration philosophy at Los Angeles Department of Water and Power,X,纯电力(LADWP输电线路应急恢复),题目+关键词
107,WOS:001459689900001,Hybrid algorithms for enhanced efficiency and scalability of network-based tri-level interdiction models,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
108,WOS:000392605000026,OPTIMAL DESIGN FOR WATER AND POWER CO-GENERATION IN REMOTE AREAS USING RENEWABLE ENERGY SOURCES AND INTELLIGENT AUTOMATION,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
109,WOS:000814046200001,Vulnerability cloud: A novel approach to assess the vulnerability of critical infrastructure systems,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
110,WOS:001641490600001,Optimal resilience-based restoration plan for disrupted interdependent infrastructure networks under uncertainty,A,不确定性下互依网络恢复优化(电-水算例),摘要
111,WOS:000423728200063,Designing Decentralized Water and Electricity Supply System for Small Recreational Facilities in the South of Russia,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
112,WOS:000291013100032,THERMODYNAMIC ANALYSIS OF A COMBINED POWER AND WATER PRODUCTION SYSTEM,X,过程级(电力+水生产系统热力学),题目+关键词
113,WOS:000403533100016,Development of a disaster action plan for hospitals in Malaysia pertaining to critical engineering infrastructure risk analysis,X,医院灾害预案,题目+关键词
114,WOS:001207484400001,Enhancing the electricity and desalinated water production from solar chimney power plants through integration with nuclear power plants: A case study in Jordan,X,过程级(太阳烟囱+核电淡化),题目+关键词
115,WOS:000259691100003,Optimal design of a cogeneration plant for power and desalination taking equipment reliability into consideration,X,过程级(淡化联产厂设计),题目+关键词
116,WOS:001631537900003,Synergistic thermodynamic analysis of integrated power-water cogeneration: Near-Isothermal compression for desalination and energy storage,X,过程级(近等温压缩淡化+储能),题目+关键词
117,WOS:000537476200189,"Assessing Resilience of Urban Critical Infrastructure Networks: A Case Study of Ahvaz, Iran",X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
118,WOS:001523487600036,Coordinated Energy Scheduling in Interconnected Power-Water-Gas Networks Under Network Failures,A,电-水-气网络故障下协调调度,题目+关键词
119,WOS:000357105902049,Using spatial modelling to develop flood risk and climate adaptation capacity metrics for assessing urban community and critical electricity infrastructure vulnerability,X,洪水风险+电力基础设施脆弱性,题目+关键词
120,WOS:000611859300002,Development of optimal energy management for a residential fuel cell hybrid power system with heat recovery,X,住宅燃料电池CHP能量管理,题目+关键词
121,WOS:001067020900001,Building reliable budget-based binary-state networks,X,二态网络可靠性理论,题目+关键词
122,WOS:000707352500009,A review on various designs for performance improvement of passive solar stills for remote areas,X,被动式太阳能蒸馏器设计,题目+关键词
123,WOS:000909972200001,Nonlinear Integer Programming for Solving Preventive Maintenance Scheduling Problem for Cogeneration Plants with Production,X,联产电厂预防性维护调度,题目+关键词
124,WOS:000877594300009,A nuclear driven hybrid sCO2 power cycle/membrane distillation system for water-electricity cogeneration,X,过程级(核能sCO2+膜蒸馏水电联产),题目+关键词
125,WOS:000484531200005,Integrating Operational and Organizational Aspects in Interdependent Infrastructure Network Recovery,A,"水-电-气网络恢复(运行+组织集成,Shelby)",摘要
126,WOS:000244311700043,Outsourcing T&D infrastructure projects -: Burbank Water & Power,X,电力输配项目外包管理,题目+关键词
127,WOS:001492764600028,Lrban Power Grid Resilience Assessment Method Considering Urban Lifeline Function,A,[B终筛升A]考虑水/电/气生命线需求依赖的城市电网韧性评估方法,摘要复核(B类终筛)
128,WOS:001291043700003,Multi-period electricity distribution network investment planning under demand coincidence in the smart grid,X,纯电力(配网投资规划),题目+关键词
129,WOS:001830538200014,Dynamic electrostatic cladding-spun core-shell photothermal yarns for sustainable solar-driven water-electricity cogeneration,X,材料级(光热纱线水电联产),题目+关键词
130,WOS:000707150300015,A heuristic approach to an interdependent restoration planning and crew routing problem,A,"互依恢复规划+班组路径(电/水/气,Shelby)",摘要
131,WOS:001365144500007,Framework for Improving the Postdisaster Repair Sequence of Interdependent Critical Infrastructure Systems,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
132,WOS:A1994PP05300043,EXTENDING WATER-SUPPLIES IN WATER SHORT AREAS,X,纯供水工程(缺水地区扩容),题目+关键词
133,WOS:001250142702113,Metrics for Use in Quantifying Power System Resilience with Water-Energy Nexus Considerations: Mathematical Formulation and Case Study,A,电力系统韧性指标(含WDS/水-能nexus),题目+关键词
134,WOS:000168158900016,Fifteen years of R&D program in seawater desalination at KISR Part II. RO system performance,X,海水淡化RO研发,题目+关键词
135,WOS:000398241300003,Vulnerability analysis of interdependent spatially embedded infrastructure networks under localized attack,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
136,WOS:001664964400001,Integrated optimal operation of power and water systems under uncertainty: An adjustable robust optimization approach,A,耦合系统鲁棒运行优化(可调鲁棒),题目+关键词
137,WOS:000574867900010,Probabilistic Framework for Evaluating Community Resilience: Integration of Risk Models and Agent-Based Simulation,A,[B终筛升A]社区地震韧性概率框架:建筑-电力-供水-医疗互依级联,摘要复核(B类终筛)
138,WOS:000527842500043,Worst-case vulnerability assessment and mitigation model of urban utility tunnels,A,"综合管廊最坏情景脆弱性(承载电-水系统,天津)",摘要
139,WOS:000387521400002,"What does ""better"" mean? Perceptions of electricity and water services in Santo Domingo",X,居民对电/水服务感知调查,题目+关键词
140,WOS:000637132700001,Community vulnerability perspective on robust protection planning in interdependent infrastructure networks,A,"社区脆弱性视角鲁棒防护(电-气-水,Shelby)",摘要
141,WOS:000496603900047,"Application of household disruption data to delineate critical infrastructure resilience characteristics in the aftermath of disaster: A case study of Bhaktapur, Nepal",X,震后家庭中断数据实证(社会韧性),题目+关键词
142,WOS:001715193200001,Resilience performance analysis of interdependent infrastructures using Fault Tree and Dynamic Bayesian Network,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
143,WOS:001016382300022,Ecosystem guidance for the incorporation of renewable utilities in a multi-use campus network,X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
144,WOS:001007481400001,Optimal hydraulic energy harvesting strategy for PaT installation in Water Distribution Networks,X,[B终筛剔除:供水系统内水力发电/能量回收/抽蓄设备(口径外)],摘要复核(B类终筛)
145,WOS:001699239900001,Stay-or-relocate model (STORM): An agent-based population displacement simulator applied to a multi-phase volcanic eruption scenario,X,火山灾害人口迁移模拟,题目+关键词
146,WOS:000677819700021,Opportunities for Robustness of Water Footprints in Electricity Generation,X,nexus资源侧(发电水足迹鲁棒性),题目+关键词
147,WOS:001753289700010,Renewable Energy and Self-sufficiency in High-Altitude Alpine Historic Farmstead: A Design Workflow for Optimizing Solar and Water Solutions,X,高山农舍太阳能-水方案设计,题目+关键词
148,WOS:000302423700031,Vulnerability analysis of interdependent infrastructure systems: A methodological framework,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
149,WOS:A1994NT58300028,MAINTENANCE PHILOSOPHY AND APPROACH FOR A DUAL-PURPOSE PLANT,X,双用途淡化电厂维护,题目+关键词
150,WOS:000710366400001,A biogas-steam combined cycle for sustainable development of industrial-scale water-power hybrid microgrids: design and optimal scheduling,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
151,WOS:001587241200001,Forest restoration in tropical forests recovers topsoil water retention but does not improve deep soil layers,X,森林土壤水文,题目+关键词
152,WOS:001007134100001,Analyzing the tradeoff between vulnerability and recoverability investments for interdependent infrastructure networks,A,"脆弱性-可恢复性投资权衡(电-水网络,Shelby)",摘要
153,WOS:000390436000059,Energy Efficiency and Reliability Transformation at the IBM India Software Lab Data Center,X,数据中心能效改造,题目+关键词
154,WOS:000491352900212,Light-Weighted Security Access scheme of Broadband Power Line Communications for Multi-Source Information Collection,X,电力线载波通信安全,题目+关键词
155,WOS:000499482000005,A water-electricity nexus model to analyze thermoelectricity supply reliability under environmental regulations and economic penalties during drought events,X,"[B终筛剔除:nexus资源侧(水电调度/电厂冷却水/区域水资源),非市政供水网]",摘要复核(B类终筛)
156,WOS:000279126500003,Dynamic simulation of a solar-driven carbon dioxide transcritical power system for small scale combined heat and power production,X,太阳能CO2热电联供仿真,题目+关键词
157,WOS:000413936100054,Measuring and understanding the microeconomic resilience of businesses to lifeline service interruptions due to natural disasters,X,企业经济韧性(生命线中断),题目+关键词
158,WOS:001357847400001,An Ultra-Miniaturized Fiber Humidity Sensor Based on Near-Parallel Ion Pathways Induced Efficient Water-Electricity Conversion,X,传感器器件(湿度-水电转换),题目+关键词
159,WOS:000482715500026,Vulnerability Distribution Model of Critical Infrastructures Based on Topological System Simulation,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
160,WOS:000290621300001,Health-related quality of life of Palestinian preschoolers in the Gaza Strip: a cross-sectional study,X,公共卫生(加沙儿童健康),题目+关键词
161,WOS:001120969100001,Exploring Virtual Water Network Dynamics of China's Electricity Trade: Insights into the Energy-Water Nexus,X,虚拟水-电力贸易网络(nexus资源侧),题目+关键词
162,WOS:000371807900006,Modeling and simulation of the vulnerability of interdependent power-water infrastructure networks to cascading failures,A,级联失效建模(电力-水互依网络),题目+关键词
163,WOS:000437961000014,Modeling the damage and recovery of interdependent critical infrastructure systems from natural hazards,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
164,WOS:000360494600032,Design of power systems for reverse osmosis desalination in remote communities,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
165,WOS:000423008500069,Water management and electricity output of a Hybrid Renewable Energy System (HRES) in Fournoi Island in Aegean Sea,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
166,WOS:001033806800001,Predictive control of interlinked water-energy microgrids,X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
167,WOS:000393036700009,An indicator tool for assessing local vulnerability to climate change in the Mexican agricultural sector,X,农业气候脆弱性指标,题目+关键词
